title,category,sub-category,price,sale_price,in_stock,country,volume,alcohol,brand,url,scrapped_time,desc_1,desc_2,desc_3
Hakutsuru Dai Ginjo Sake 720ML,Japanese-Liquor,Sake,"Rs. 4,240",N/A,1,Japan,720ML,15.5%,Hakutsuru,https://cheers.com.np/liquor/product/hakutsuru-dai-ginjo-sake-720ml,2023-09-24,"• HAKUTSURU Dai Ginjo is high-grade sake elaborately made with rice polished to 50%, as rice koji.",• This graceful Japanese Sake has fruity aromas and a velvety smoothness.,• A very good sake to match with various foods.
Hakutsuru Superior Junmai Ginjo Sake 720ML,Japanese-Liquor,Sake,"Rs. 3,755",N/A,1,Japan,720ML,14.5%,Hakutsuru,https://cheers.com.np/liquor/product/hakutsuru-superior-junmai-ginjo-sake-720ml,2023-09-24,"• Using only the finest rice and Nada's famed natural spring water from Mt. Rokku ""Miyamizu"", Junmai Ginjo has been brewed with meticulous care and traditional method.","• This flowery fragrant Sake with silky, well-balanced smoothness can be enjoyed chilled or at room temperature.",
Choya Classic Umeshu 750ML,Japanese-Liquor,Umeshu,"Rs. 4,600",N/A,1,Japan,750ML,15%,Choya,https://cheers.com.np/liquor/product/choya-classic-umeshu-750ml,2023-09-24,"• Umeshu is revered throughout Japan for its balance of sweetness, acidity and ume fragrance.",• Beautifully balanced sweet & tart taste of the ume fruit with notes of almond from the ume pit.,"• Drink chilled, on the rocks or mix CHOYA with your favorite champagne, sparkling water, vodka or make your own Martini with CHOYA."
Hakutsuru Maru Sake 2L,Japanese-Liquor,Sake,"Rs. 4,985",N/A,1,Japan,2000ML,13.5%,Hakutsuru,https://cheers.com.np/liquor/product/hakutsuru-maru-sake-2l,2023-09-24,"• ""Maru"" is the most widely sold brand in Japan.","• The ""Hakutsuru original yeast"" that produces a wide range of flavors and the ""koji four-step"" process that draws out the umami of the koji further produce a ""rich, full flavor"".",• The well-balanced and harmonized umami goes well with a wide range of dishes and enhances the flavor of the dishes themselves.
Hakutsuru Draft Sake 300ML,Japanese-Liquor,Sake,"Rs. 1,475",N/A,1,Japan,300ML,14%,Hakutsuru,https://cheers.com.np/liquor/product/hakutsuru-draft-sake-300ml,2023-09-24,• Fruity yet dry in a classic Japanese style.,"• Junmai Draft is a Namachozo Sale, meaning it is flash pasteurized only once to retain its uniquely pure and fresh flavors.",• Ultrafiltration and storing at 41°F further refines this refreshing Sake.
Takara Yokaichi Mugi Shochu 720ML,Japanese-Liquor,Shochu,"Rs. 5,490",N/A,1,Japan,720ML,25%,Takara,https://cheers.com.np/liquor/product/takara-yokaichi-mugi-shochu-720ml,2023-09-24,"• Yoka ichi translates to ""The absolute best"".",• Made with a special white koji which gives it a dry flavour.,• The barley has been polished to the equivalent of a ginjo sake level.
Hakodate Kerner Medium Sweet White 720ML,Japanese-Liquor,Wines,"Rs. 4,700",N/A,1,Japan,720ML,11%,Hakodate,https://cheers.com.np/liquor/product/hakodate-kerner-medium-sweet-white-720ml,2023-09-24,"• Made from 100% Kerner grapes from Yoichi, Hokkaido.","• Features a citrus aroma and a fresh, crisp acidity.",• Light toned wine.
Choya Classic Umeshu 375ML,Japanese-Liquor,Umeshu,"Rs. 2,450",N/A,1,Japan,375ML,15%,Choya,https://cheers.com.np/liquor/product/choya-classic-umeshu-375ml,2023-09-24,"• Umeshu is revered throughout Japan for its balance of sweetness, acidity and ume fragrance.",• Beautifully balanced sweet & tart taste of the ume fruit with notes of almond from the ume pit.,"• Drink chilled, on the rocks or mix CHOYA with your favorite champagne, sparkling water, vodka or make your own Martini with CHOYA."
Choya Classic Umeshu 50ML,Japanese-Liquor,Umeshu,Rs. 360,N/A,1,Japan,50ML,15%,Choya,https://cheers.com.np/liquor/product/choya-classic-umeshu-50ml,2023-09-24,"• Umeshu is revered throughout Japan for its balance of sweetness, acidity and ume fragrance.",• Beautifully balanced sweet & tart taste of the ume fruit with notes of almond from the ume pit.,"• Drink chilled, on the rocks or mix CHOYA with your favorite champagne, sparkling water, vodka or make your own Martini with CHOYA."
Choya Shiso Umeshu 750ML,Japanese-Liquor,Umeshu,"Rs. 4,800",N/A,1,Japan,750ML,15%,Choya,https://cheers.com.np/liquor/product/choya-shiso-umeshu-750ml,2023-09-24,"• Umeshu is revered throughout Japan for its balance of sweetness, acidity and ume fragrance.","• Beautifully balanced sweet & tart taste of the ume fruit flavoured with shiso herb, which gives this umeshu its unique red colour & aroma.","• Drink chilled, on the rocks or mix CHOYA with your favorite champagne, sparkling water, vodka or make your own Martini with CHOYA."
