title,category,sub_category,price,sale_price,country,alcohol,volume,brand,url,scrapped_time,desc_1,desc_2,desc_3
Bombay Sapphire Gin 1L,Gin,Imported Gin,"10,550","9,900",England,47%,1000ML,Bombay Sapphire,https://liquorworld.com.np/product/bombay-sapphire-gin-1l/,2023-09-25,"Bombay Sapphire is one of the world’s famous gin in its distinctive blue bottle, a tantalizing, smooth and complex taste that you will experience when you sip Bombay Sapphire gin which is described as fresh citrus and juniper flavours combined with an elegant light spicy finish. Developed out of Bombay Dry Gin in the 1980s by Michel Roux.","The incomparable taste of this gin is the result of 10 hand-selected botanicals from exotic locations around the world which includes Juniper Berries from Italy, Lemon Peel from Spain, Coriander from Morocco, Angelica (Root) from Saxony, Orris (Iris Root) from Italy, Grains of Paradise from West Africa, Cubeb Berries from Java, Cassia Bark from Indo-China, Almonds from Spain and Liquorice from China.","The flavours of the botanicals are captured through a delicate distillation process called Vapour Infusion to give Bombay Sapphire its distinctive taste. It is considered as one of the worlds true iconic Gin’s, it is the perfect way to begin the legendary cocktails, the Martini and the G&T."
Monkey 47 Schwarzwald Dry Gin 500ML,Gin,Imported Gin,"9,878","8,980",Germany,47%,500ML,Monkey 47,https://liquorworld.com.np/product/monkey-47-schwarzwald-dry-gin-500ml/,2023-09-25,Monkey 47 is a complex Gin that has great balance between 47 hand-picked botanicals from the Black Forest in Germany. It is blended with natural spring water to maintain the purity in taste.,"Hand-crafted by a small team of expert distillers in the heart of the Black Forest, Germany, this unfiltered, small batch, ulta-premium, craft gin is bottled at 47% ABV.","This Gin unites great British traditions, the spices of India and the rich landscape of the Black Forest. Three months of maturation in earthenware vessels provides its unparalleled suppleness and balance."
Gordon’s Gin 1L,Gin,Imported Gin,"6,700","6,090",England,43%,1L,Gordon’s,https://liquorworld.com.np/product/gordons-gin-1l/,2023-09-25,Gordon’s London Dry Gin is carefully distilled using a secret recipe. A unique blend of finest handpicked juniper berries citrus and other rare herbs and spices combination gives Gordon’s Gin its distinctive crisp taste and fragrant aroma. It’s the taste that’s made Gordon’s the world’s best-selling London Dry gin.,,
Bottega Bacur Distilled Dry Gin 700ML,Gin,Imported Gin,"6,950","6,535",Italy,40%,700ML,Bottega,https://liquorworld.com.np/product/bottega-bacur-distilled-dry-gin-700ml/,2023-09-25,Bottega Bacur Distilled Dry Gin owes its unique character to the botanicals used to produce it.,"Juniper berries, sage leaves and lemon zest are left to macerate in a solution of water and alcohol for a long time; after that, double distillation takes place, clearing the liquid from possible unwanted hints and leading to an elegant distillate with a fine, clean bouquet.","The final features of this Gin are deeply related to its components, and its quality and complexity depend not only on the quantity of plants used, but also on the conditions in which aromatic compounds are extracted from each of them."
Bulldog Gin 750ML,Gin,Imported Gin,"6,421","6,100",England,40%,750ML,Bulldog,https://liquorworld.com.np/product/bulldog-gin-750ml/,2023-09-25,"Bulldog Gin is a true English premium gin handcrafted in England with smooth and harmonious texture with balanced finish and soft juniper note, rendering it the “world’s most mixable London Dry Gin”. This iconic and multi-award winning, Bulldog Gin uses 100% British wheat and water to create smooth, eminently mixable gin with multiple layers of flavours.","It is quadruple distilled in traditional copper pot stills gin, infused with 12 of the rarest and distinctive botanicals, including Lemon from Spain, Lavender from France, Angelica from Germany, White Poppy from Turkey, Dragon Eye from China, Lotus Leaves from China, Almond from Spain, Coriander from Morocco, Juniper from Italy, Oris from Italy, Cassia from Indo-China and Liquorice from China.","Enjoy the Bulldog Gin and Tonic with sliced blueberries, a Bulldog Supersonic Gin and Tonic with cassis and blackberries. Pairs well with Fever-Tree Mediterranean Tonic Water due to its smooth, citrus flavour."
Suntory Roku Gin 700ML,Gin,Imported Gin,"7,200","6,770",Japan,43%,700ML,Suntory,https://liquorworld.com.np/product/suntory-roku-gin-700ml/,2023-09-25,"In Japanese, Roku translates as the number six. Inside every bottle of Roku Gin, you will find six very special botanicals that are sourced in Japan. Sakura flower, Sakura leaf, Yuzu peel, Sencha tea (green tea), Gyokuro tea (refined green tea) and Sanshō pepper, these are the six Japanese botanicals cultivated over four seasons and have been carefully selected to create ROKU, Japan’s authentic craft gin. These represent Suntory’s commitment to only use the best ingredients harvested from the best growing areas in Japan. Every aspect of Roku Gin is crafted by Japanese artisans with a centuries-old tradition of meticulous attention to detail.","Suntory developed its own multiple distillation process as a result of the special features each botanical brings to Roku Gin’s perfectly balanced mix. Unparalleled soft, round and subtly sweet taste.",Nose: Cherry blossom and green tea provide a floral and sweet aroma.
Gilbey’s London Dry Gin 1L,Gin,Imported Gin,"6,500","5,900",England,43%,1L,Gilbey’s,https://liquorworld.com.np/product/gilbeys-london-dry-gin-1l/,2023-09-25,"Gilbey’s London Dry Gin is a classic gin with flavour of juniper and other 11 botanicals. It was founded in London in 1857 by brothers Walter ad Albert Gilbey. This gin has a delicate blend of 12 natural ingredients to achieve the ideal mix of complexity and balance to deliver a smoother, tangy, refreshing dry gin with hints of citrus. The key botanicals are; juniper, lemongrass, orange peel, coriander, kalamansi, angelica root, cinnamon and nutmeg.",Color: Clear.,"Nose: Light, floral juniper base with hints of sweet orange."
Absolut Apeach 1L,Vodka,Imported Vodka,"6,800","6,200",Sweden,40%,1L,Absolut,https://liquorworld.com.np/product/absolut-apeach-1l/,2023-09-25,"(40% Alc) has the complex flavors of natural peach, blended with the grain grown in the rich fields of Southern Sweden. This Vodka is made using all-natural peach flavours and the purest Swedish Vodka, Absolut have created a marvellous vodka! The sweetness and richness that the peach imparts compliments the Vodka and leaves you with a pleasant and uplifting Vodka. It’s smooth and mellow, with a sophisticated and fruity character of peach.",,
8848 Vodka 750ML,Vodka,Domestic Vodka,"2,145","2,060",Nepal,40%,750ML,8848,https://liquorworld.com.np/product/8848-vodka-750ml/,2023-09-25,"Mount Everest, known as Chhomolungma by Sherpas meaning “Mother Goddess of the Earth” is the highest point in the world standing at 8848 meters.","is crafted from imported grain spirits, distilled from Soft French Winter Wheat and blended in small batches with Pure Spring Water from the Himalayas.",The remarkable superior taste comes from the time-honored tradition of using copper in the distilling process. A large copper pot is filled with the eclectic mix of ingredients and the process of distillation is repeated five time until the desired flavor of 8848 Vodka is achieved.
Absolut Blue 1L,Vodka,Imported Vodka,"6,550","5,955",Sweden,40%,1L,Absolut,https://liquorworld.com.np/product/absolut-blue-1l/,2023-09-25,"is a Swedish vodka made exclusively from natural ingredients and distilled from grain grown in the rich fields of southern Sweden. It has been produced at the famous old distilleries near Ahus in accordance with more than 40 years of Swedish tradition. Because it has no added sugar, Absolut Vodka is perfect for mixing. In fact, Absolut is as clean as vodka can be. Still, it has a certain taste: Rich, full-bodied and complex, yet smooth and mellow with a distinct character of grain, followed by a hint of dried fruit.",,
